Code,Company name,Volume,Adj Close,std,price_change,pc_change,short_pred,long_pred
WEB,WEBJET LIMITED,441057.0,13.03,4.392551960348924,-0.09,-0.69,SELL,SELL
WES,WESFARMERS LIMITED,2144753.0,38.45,6.676843755704391,0.5,1.32,BUY,BUY
WSA,WESTERN AREAS LIMITED,5399257.0,2.44,1.1247498168966112,0.01,0.41,BUY,BUY
WBC,WESTPAC BANKING CORPORATION,5769688.0,27.88,5.726137083737597,0.25,0.9,SELL,BUY
WHC,WHITEHAVEN COAL LIMITED,3343930.0,3.65,1.6615302192500272,0.01,0.27,SELL,SELL
WTC,WISETECH GLOBAL LIMITED,425260.0,29.95,6.894841925041756,0.11,0.37,BUY,BUY
WPL,WOODSIDE PETROLEUM LTD,3382086.0,33.6,3.5519168289407945,-0.2,-0.59,SELL,SELL
WOW,WOOLWORTHS GROUP LIMITED,1697032.0,34.33,4.1386329743734995,0.47,1.39,BUY,BUY
WOR,WORLEYPARSONS LIMITED,1002300.0,14.5,5.083312240762244,0.15,1.05,SELL,BUY
XRO,XERO LIMITED,283789.0,61.07,13.167432638754818,1.07,1.78,SELL,BUY
